timestamp,value
1393691760,42.0
1393692060,94.8
1393692360,42.0
1393692660,68.4
1393692960,68.4
1393693260,86.4
1393693560,68.4
1393693860,42.0
1393694160,112.8
1393694460,68.4
1393694760,42.0
1393695060,86.4
1393695360,42.0
1393695660,68.4
1393695960,42.0
1393696260,104.4
1393696560,68.4
1393696860,42.0
1393697160,104.4
1393697460,42.0
1393697760,68.4
1393698060,68.4
1393698360,86.4
1393698660,68.4
1393698960,42.0
1393699260,112.8
1393699560,150.6
1393699860,42.0
1393700160,112.8
1393700460,50.4
1393700760,68.4
1393701060,42.0
1393701360,112.8
1393701660,68.4
1393701960,42.0
1393702260,112.8
1393702560,42.0
1393702860,68.4
1393703160,68.4
1393703460,78.0
1393703760,60.0
1393704060,42.0
1393704360,112.8
1393704660,42.0
1393704960,60.0
1393705260,68.4
1393705560,86.4
1393705860,68.4
1393706160,42.0
1393706460,112.8
1393706760,68.4
1393707060,42.0
1393707360,112.8
1393707660,42.0
1393707960,68.4
1393708260,68.4
1393708560,86.4
1393708860,68.4
1393709160,42.0
1393709460,94.8
1393709760,42.0
1393710060,68.4
1393710360,68.4
1393710660,86.4
1393710960,68.4
1393711260,42.0
1393711560,104.4
1393711860,68.4
1393712160,42.0
1393712460,112.8
1393712760,42.0
1393713060,76.8
1393713360,42.0
1393713660,112.8
1393713960,68.4
1393714260,42.0
1393714560,112.8
1393714860,42.0
1393715160,68.4
1393715460,68.4
1393715760,86.4
1393716060,68.4
1393716360,42.0
1393716660,112.8
1393716960,42.0
1393717260,60.0
1393717560,68.4
1393717860,86.4
1393718160,68.4
1393718460,42.0
1393718760,112.8
1393719060,68.4
1393719360,42.0
1393719660,112.8
1393719960,42.0
1393720260,68.4
1393720560,68.4
1393720860,86.4
1393721160,68.4
1393721460,42.0
1393721760,112.8
1393722060,42.0
1393722360,68.4
1393722660,68.4
1393722960,94.8
1393723260,68.4
1393723560,42.0
1393723860,94.8
1393724160,68.4
1393724460,42.0
1393724760,94.8
1393725060,42.0
1393725360,68.4
1393725660,42.0
1393725960,104.4
1393726260,68.4
1393726560,42.0
1393726860,112.8
1393727160,42.0
1393727460,68.4
1393727760,68.4
1393728060,86.4
1393728360,68.4
1393728660,42.0
1393728960,112.8
1393729260,60.0
1393729560,50.4
1393729860,94.8
1393730160,60.0
1393730460,68.4
1393730760,42.0
1393731060,112.8
1393731360,60.0
1393731660,42.0
1393731960,112.8
1393732260,42.0
1393732560,68.4
1393732860,68.4
1393733160,86.4
1393733460,68.4
1393733760,42.0
1393734060,112.8
1393734360,42.0
1393734660,76.8
1393734960,68.4
1393735260,86.4
1393735560,68.4
1393735860,42.0
1393736160,112.8
1393736460,68.4
1393736760,42.0
1393737060,112.8
1393737360,42.0
1393737660,68.4
1393737960,42.0
1393738260,86.4
1393738560,68.4
1393738860,42.0
1393739160,104.4
1393739460,42.0
1393739760,68.4
1393740060,150.6
1393740360,86.4
1393740660,68.4
1393740960,42.0
1393741260,112.8
1393741560,68.4
1393741860,42.0
1393742160,94.8
1393742460,68.4
1393742760,68.4
1393743060,42.0
1393743360,112.8
1393743660,68.4
1393743960,42.0
1393744260,112.8
1393744560,42.0
1393744860,60.0
1393745160,68.4
1393745460,86.4
1393745760,68.4
1393746060,42.0
1393746360,112.8
1393746660,42.0
1393746960,68.4
1393747260,68.4
